Question,Subject,Answer,A,B,C,D
‘আনারস’ এবং ‘চাবি’ শব্দ দুটি বাংলা ভাষা গ্রহণ করেছে-,BANGLA-LANGUAGE,A,পর্তুগিজ ভাষা হতে,আরবি ভাষা হতে,দেশী ভাষা হতে,ওলন্দাজ ভাষা হতে
শুদ্ধ বানান কোনটি?,BANGLA-LANGUAGE,B,মূমুর্ষু,মুমূর্ষু,মূমূর্ষ,মুমূর্ষ
গুরুচণ্ডালী দোষমুক্ত কোনটি?,BANGLA-LANGUAGE,C,শবপোড়া,মড়াদাহ,শবদাহ,শবমড়া
‘কবর’ নাটকটির লেখক-,BANGLA-LITERATURE,C,জসীমউদ্দীন,নজরুল ইসলাম,মুনীর চৌধুরী,দ্বিজেন্দ্রলাল রায়
‘উভয়কূল রক্ষা’ অর্থে ব্যবহৃত প্রবচন কোনটি?,BANGLA-LANGUAGE,C,"কারো পৌষ মাস, কারো সর্বনাস","চাল না চুলো, ঢেঁকী না কুলো","সাপও মরে, লাঠিও না ভাঙ্গে","বোঝার উপর, শাকের আঁটি"
শুদ্ধ বাক্য কোনটি?,BANGLA-LANGUAGE,C,দুর্বলবশত অনাথিনী বসে পড়া,দুর্বলতাবশতঃ অনাথিনী বসে পড়ল,দুর্বলতাবশত অনাথা বসে পড়ল,দুর্বলবশত অনাথা বসে পড়ল
ক্রিয়া পদের মূল অংশকে বলা হয়-,BANGLA-LANGUAGE,B,বিভক্তি,ধাতু,প্রত্যয়,কৃৎ
‘রত্নাকর’ শব্দটির সন্ধি বিচ্ছেদ-,BANGLA-LANGUAGE,D,রত্না + কর,রত্ন + কর,রত্না + আকার,রত্ন + আকর
কোন দ্বিরুক্ত শব্দজুটি বহুবচন সংকেত করে?,BANGLA-LANGUAGE,A,পাকা পাকা আম,ছি ছি কি করছ,নরম নরম হাত,উড়ু উড়ু মন
কোন প্রবচন বাক্য ব্যবহারিক দিক হতে সঠিক?,BANGLA-LANGUAGE,B,যত গর্জে তত বৃষ্টি হয় না,অধিক সন্ন্যাসীতে গাজন নষ্ট,নাচতে না জানলে উঠোন ভাঙ্গা,যেখানে বাঘের ভয় সেখানে বিপদ হয়
বাংলায় টি.এস. এলিয়টের কবিতার প্রথম অনুবাদক–,BANGLA-LITERATURE,A,রবীন্দ্রনাথ ঠাকুর,বিষ্ণু দে,সুধীন্দ্রনাথ দত্ত,বুদ্ধদেব বসু
‘অগ্নিবীণা’ কাব্যগ্রন্থে সংকলিত প্রথম কবিতা–,BANGLA-LITERATURE,C,অগ্রপথিক,বিদ্রোহী,প্রলয়োল্লাস,ধূমকেতু
‘শেষের কবিতা’ রবীন্দ্রনাথ রচিত–,BANGLA-LITERATURE,C,কবিতার নাম,গল্প সংকলনের নাম,উপন্যাসের নাম,কাব্য সংকলনের নাম
কোন বাক্যে ‘মাথা’ শব্দটি বুদ্ধি অর্থে ব্যবহৃত?,BANGLA-LANGUAGE,B,তিনিই সমাজের মাথা,মাথা খাটিয়ে কাজ করবে,লজ্জায় আমার মাথা কাটা গেল,মাথা নেই তার মাথা ব্যথা
কোন শব্দে বিদেশি উপসর্গ ব্যবহৃত হয়েছে?,BANGLA-LANGUAGE,D,নিখুঁত,আনমনা,অবহেলা,নিমরাজী
‘আমার ভাইয়ের রক্তে রাঙানো ২১শে ফেব্রুয়ারি’র রচয়িতা কে?,BANGLA-LITERATURE,D,শামসুর রাহমান,আলতাফ মাহমুদ,হাসান হাফিজুর রহমান,আব্দুল গাফ্ফার চৌধুরী
কোনটি তদ্ভব শব্দ?,BANGLA-LANGUAGE,A,চাঁদ,সূর্য,নক্ষত্র,গগন
বাংলায় কোরআন শরীফের প্রথম অনুবাদক কে?,BANGLA-LITERATURE,B,কেশব চন্দ্র সেন,গিরিশচন্দ্র সেন,মাওলানা মনিরুজ্জামান ইসলামাবাদী,মওলানা আকরাম খাঁ
Choose the correct alternative to complete the sentence? ‘He–to see us if he had been able to.’,ENGLISH-LANGUAGE,B,would come,would have come,may have come,may come
Choose the appropriate alternative to complete the sentence. ‘He had a– of fever.’,ENGLISH-LANGUAGE,B,strong attack,severe attack,serious kind,bad attack
Choose the correct sentence.,ENGLISH-LANGUAGE,B,I asked Javed had he passéd,I asked Javed if he had passed,I asked Javed if you had passed,I asked Javed that had he passed
Choose the correct sentence.,ENGLISH-LANGUAGE,B,A few of the three boys got a prize,Each of the three boys got a prize,Every of the three boys got a prize,All of the three boys got a prize
Choose the correct sentence.,ENGLISH-LANGUAGE,B,The man that said that was a fool,The man who said that was a fool,The man that said that was a fool,The man which said that was a fool
Choose the correct answer. How long did you wait?,ENGLISH-LANGUAGE,B,Till lunch time,Till he came,Until six o’clock,Since this morning
What will be correct preposition to complete the sentence? ‘I am not bad ____ tennis’.,ENGLISH-LANGUAGE,B,in,at,about,with
What is the antonym of ‘gentle’?,ENGLISH-LANGUAGE,D,harsh,modest,clever,rude
What is the synonym of ‘Jovial’?,ENGLISH-LANGUAGE,,Jolly,Gay,Jealous,Happy
What is the synonym of ‘Competent’?,ENGLISH-LANGUAGE,C,Circumspect,Discrete,Capable,Prudent
Who is the author of ‘A Farewell to Arms’?,ENGLISH-LITERATURE,D,H. G. Wells,George Orwel,Thomas Hardy,Ernest Hemingway
Who is the author of ‘Animal Farm’?,ENGLISH-LITERATURE,B,Thomas more,George Orwel,Boris Pasternak,Charles Dickens
Who is the author of ‘India Wins Freedom’?,ENGLISH-LITERATURE,C,Mahatma Gandhi,J. L. Nehru,Abul Kalam Azad,Moulana Akram Khan
What kind of noun is ‘Cattle’?,ENGLISH-LANGUAGE,C,Proper,Common,Collective,Material
What kind of noun is ‘Girl’?,ENGLISH-LANGUAGE,B,Proper,Common,Collective,Material
What is the meaning of ‘White Elephant’?,ENGLISH-LANGUAGE,B,An elephant of white colour,A very coslty or troublesome possession,A black marketer,A hoarder
বাংলাদেশ গণপ্রজাতন্ত্রের ঘোষণা ছিলো–,BANGLADESH-AFFAIRS,A,"১৭ এপ্রিল, ১৯৭১","২৬ মার্চ, ১৯৭১","১১ এপ্রিল, ১৯৭১","১০ জানুয়ারি, ১৯৭২"
গণপ্রজাতন্ত্রী বাংলাদেশের সংবিধান প্রবর্তিত হয়–,BANGLADESH-AFFAIRS,B,"১৭ এপ্রিল, ১৯৯১","১৬ ডিসেস্বর, ১৯৭২","৭ মার্চ, ১৯৭২","২৬ মার্চ, ১৯৭৩"
বিখ্যাত সাধক শাহ্ সুলতান বলখীর মাজার কোথায়?,BANGLADESH-AFFAIRS,A,মহাস্থানগড়ে,শাহজাদপুরে,নেত্রকোনায়,রামপালে
বাংলাদেশের লোক শিল্প জাদুঘর কোথায় অবস্থিত?,BANGLADESH-AFFAIRS,C,চট্টগ্রামে,বগুড়ায়,সোনারগাঁওয়ে,রামপালে
বাংলায় ইউরোপীয় বণিকদের মধ্যে বাণিজ্যের উদ্দেশ্যে প্রথম এসেছিল-,BANGLADESH-AFFAIRS,D,ইংরেজরা,ওলন্দজরা,ফরাসিরা,পর্তুগিজরা
বাংলা নববর্ষ পহেলা বৈশাখ চালু করেছিলেন-,BANGLADESH-AFFAIRS,C,লক্ষ্মণ সেন,ইলিয়াস শাহ,আকবর,বিজয় সেন
পাহাড়পুরের বৌদ্ধ বিহারটি কি নামে পরিচিত ছিল?,BANGLADESH-AFFAIRS,A,সোমপুর বিহার,ধর্মপাল বিহার,জগদ্দল বিহার,শ্রী বিহার
বাংলাদেশে চীনামাটির সন্ধান পাওয়া গেছে–,BANGLADESH-AFFAIRS,A,বিজয়পুরে,রানীগঞ্জে,টেকেরহাটে,বিয়ানী বাজারে
ঢাকা বিশ্ববিদ্যালয় প্রতিষ্ঠিত হয়–,BANGLADESH-AFFAIRS,C,১৮৯৭ সালে,১৯০২ সালে,১৯২১ সালে,১৯০৫ সালে
ঢাকার বিখ্যাত তারা মসজিদ তৈরী করনে–,BANGLADESH-AFFAIRS,C,শায়েস্তা খান,নওয়াব সলিমুল্লাহ,মির্জা আহমেদ জান,খান সাহেব আবুল হাসনাত
পাখি ছাড়া ‘বলাকা’ও ‘দোয়েল’ নামে পরিচিত হচ্ছে-,BANGLADESH-AFFAIRS,A,দু’টি উন্নত জাতের গমশস্য,দু’টি উন্নত জাতের ধানশস্য,দু’টি উন্নত জাতের ভুট্টাশস্য,দু’টি উন্নতজাতের ইক্ষু
"‘অগ্নিশ্বর’, ‘কানাইবাঁসি’, ‘মোহনবাঁশী’ ও ‘বীটজবা’ কি জাতীয় ফলের নাম?",BANGLADESH-AFFAIRS,B,পেয়ারা,কলা,পেঁপে,জামরুল
বাংলায় চিরস্থায়ী বন্দোরস্ত প্রথা প্রবর্তন করা কোন সালে?,BANGLADESH-AFFAIRS,D,১৭০০ সালে,১৭৭২ সালে,১৭৬৫ সালে,১৭৯৩ সালে
কোন মুঘল সম্রাট বাংলার নাম দেন ‘জান্নাতাবাদ’?,BANGLADESH-AFFAIRS,B,বাবর,হুমায়ুন,আকবর,জাহাঙ্গীর
উপমহাদেশীয়দের মধ্যে ঢাকা বিশ্ববিদ্যালয়ের প্রথম ভাইস চ্যান্সেলর-,BANGLADESH-AFFAIRS,D,ড. রমেশচন্দ্র মজুমদার,ড. মাহমুদ হাসান,ড. সৈয়দ মোয়াজ্জেম হোসেন,স্যার এ. এফ. রহমান
১৯৮৮ সালের সিউল অলিম্পিকে বাংলাদেশের কোন ভাস্করের শিল্পকর্ম প্রদর্শনীতে স্থান পায়?,BANGLADESH-AFFAIRS,C,শামীম সিকদার,সৈয়দ আব্দুল্লাহ খালেদ,হামিদুজ্জামান খান,আবদুস সুলতান
ঢাকায় সর্বপ্রথম কবে বাংলার রাজধানী স্থাপিত হয়?,BANGLADESH-AFFAIRS,D,১২০৬ খ্রিঃ,১৩১০ খ্রিঃ,১৫২৬ খ্রিঃ,১৬১০ খ্রিঃ
