Question,Subject,Answer,A,B,C,D,DEEP_SEEK,OPEN_AI,GEMINI,LLAMA
‘আনারস’ এবং ‘চাবি’ শব্দ দুটি বাংলা ভাষা গ্রহণ করেছে-,BANGLA-LANGUAGE,A,পর্তুগিজ ভাষা হতে,আরবি ভাষা হতে,দেশী ভাষা হতে,ওলন্দাজ ভাষা হতে,A,A,A,A
শুদ্ধ বানান কোনটি?,BANGLA-LANGUAGE,B,মূমুর্ষু,মুমূর্ষু,মূমূর্ষ,মুমূর্ষ,B,B,B,B
গুরুচণ্ডালী দোষমুক্ত কোনটি?,BANGLA-LANGUAGE,C,শবপোড়া,মড়াদাহ,শবদাহ,শবমড়া,C,A,A,C
‘কবর’ নাটকটির লেখক-,BANGLA-LITERATURE,C,জসীমউদ্দীন,নজরুল ইসলাম,মুনীর চৌধুরী,দ্বিজেন্দ্রলাল রায়,C,A,A,C
‘উভয়কূল রক্ষা’ অর্থে ব্যবহৃত প্রবচন কোনটি?,BANGLA-LANGUAGE,C,"কারো পৌষ মাস, কারো সর্বনাস","চাল না চুলো, ঢেঁকী না কুলো","সাপও মরে, লাঠিও না ভাঙ্গে","বোঝার উপর, শাকের আঁটি",C,C,C,C
শুদ্ধ বাক্য কোনটি?,BANGLA-LANGUAGE,C,দুর্বলবশত অনাথিনী বসে পড়া,দুর্বলতাবশতঃ অনাথিনী বসে পড়ল,দুর্বলতাবশত অনাথা বসে পড়ল,দুর্বলবশত অনাথা বসে পড়ল,B,B,B,B
ক্রিয়া পদের মূল অংশকে বলা হয়-,BANGLA-LANGUAGE,B,বিভক্তি,ধাতু,প্রত্যয়,কৃৎ,B,B,B,B
‘রত্নাকর’ শব্দটির সন্ধি বিচ্ছেদ-,BANGLA-LANGUAGE,D,রত্না + কর,রত্ন + কর,রত্না + আকার,রত্ন + আকর,D,A,B,B
কোন দ্বিরুক্ত শব্দজুটি বহুবচন সংকেত করে?,BANGLA-LANGUAGE,A,পাকা পাকা আম,ছি ছি কি করছ,নরম নরম হাত,উড়ু উড়ু মন,A,A,A,A
কোন প্রবচন বাক্য ব্যবহারিক দিক হতে সঠিক?,BANGLA-LANGUAGE,B,যত গর্জে তত বৃষ্টি হয় না,অধিক সন্ন্যাসীতে গাজন নষ্ট,নাচতে না জানলে উঠোন ভাঙ্গা,যেখানে বাঘের ভয় সেখানে বিপদ হয়,B,A,A,B
বাংলায় টি.এস. এলিয়টের কবিতার প্রথম অনুবাদক–,BANGLA-LITERATURE,A,রবীন্দ্রনাথ ঠাকুর,বিষ্ণু দে,সুধীন্দ্রনাথ দত্ত,বুদ্ধদেব বসু,D,C,A,C
‘অগ্নিবীণা’ কাব্যগ্রন্থে সংকলিত প্রথম কবিতা–,BANGLA-LITERATURE,C,অগ্রপথিক,বিদ্রোহী,প্রলয়োল্লাস,ধূমকেতু,B,A,A,B
‘শেষের কবিতা’ রবীন্দ্রনাথ রচিত–,BANGLA-LITERATURE,C,কবিতার নাম,গল্প সংকলনের নাম,উপন্যাসের নাম,কাব্য সংকলনের নাম,C,C,A,D
কোন বাক্যে ‘মাথা’ শব্দটি বুদ্ধি অর্থে ব্যবহৃত?,BANGLA-LANGUAGE,B,তিনিই সমাজের মাথা,মাথা খাটিয়ে কাজ করবে,লজ্জায় আমার মাথা কাটা গেল,মাথা নেই তার মাথা ব্যথা,B,B,B,B
কোন শব্দে বিদেশি উপসর্গ ব্যবহৃত হয়েছে?,BANGLA-LANGUAGE,D,নিখুঁত,আনমনা,অবহেলা,নিমরাজী,D,B,B,C
‘আমার ভাইয়ের রক্তে রাঙানো ২১শে ফেব্রুয়ারি’র রচয়িতা কে?,BANGLA-LITERATURE,D,শামসুর রাহমান,আলতাফ মাহমুদ,হাসান হাফিজুর রহমান,আব্দুল গাফ্ফার চৌধুরী,D,D,A,A
কোনটি তদ্ভব শব্দ?,BANGLA-LANGUAGE,A,চাঁদ,সূর্য,নক্ষত্র,গগন,A,A,A,D
বাংলায় কোরআন শরীফের প্রথম অনুবাদক কে?,BANGLA-LITERATURE,B,কেশব চন্দ্র সেন,গিরিশচন্দ্র সেন,মাওলানা মনিরুজ্জামান ইসলামাবাদী,মওলানা আকরাম খাঁ,B,C,A,B
Choose the correct alternative to complete the sentence? ‘He–to see us if he had been able to.’,ENGLISH-LANGUAGE,B,would come,would have come,may have come,may come,B,B,B,B
Choose the appropriate alternative to complete the sentence. ‘He had a– of fever.’,ENGLISH-LANGUAGE,B,strong attack,severe attack,serious kind,bad attack,B,B,B,B
Choose the correct sentence.,ENGLISH-LANGUAGE,B,I asked Javed had he passéd,I asked Javed if he had passed,I asked Javed if you had passed,I asked Javed that had he passed,B,B,B,B
Choose the correct sentence.,ENGLISH-LANGUAGE,B,A few of the three boys got a prize,Each of the three boys got a prize,Every of the three boys got a prize,All of the three boys got a prize,B,D,B,B
Choose the correct sentence.,ENGLISH-LANGUAGE,B,The man that said that was a fool,The man who said that was a fool,The man that said that was a fool,The man which said that was a fool,B,B,B,B
Choose the correct answer. How long did you wait?,ENGLISH-LANGUAGE,B,Till lunch time,Till he came,Until six o’clock,Since this morning,B,B,C,C
What will be correct preposition to complete the sentence? ‘I am not bad ____ tennis’.,ENGLISH-LANGUAGE,B,in,at,about,with,D,B,D,D
